in _DET_,1667261837,2578295,646.6528605144097,1950,2009,60
in_ADP _DET_,1667258011,2578295,646.6513765880165,1950,2009,60
in _NOUN_,1278772791,2576651,496.2925871606205,1950,2009,60
in_ADP _NOUN_,1276009315,2576635,495.2231553945359,1950,2009,60
I _VERB_,1172651050,2498074,469.4220627571481,1950,2009,60
I_PRON _VERB_,1172650748,2498074,469.421941864012,1950,2009,60
in the,1076712760,2576511,417.8956581206135,1950,2009,60
in_ADP the_DET,1076712760,2576511,417.8956581206135,1950,2009,60
in the_DET,1076712760,2576511,417.8956581206135,1950,2009,60
in_ADP the,1076712760,2576511,417.8956581206135,1950,2009,60
